Line,Anio,Week,Quantity
Calor,2018,W37,11303
Calor,2018,W38,14103
Calor,2018,W39,13659
Calor,2018,W40,13124
Calor,2018,W41,8120
Calor,2018,W42,13174
Calor,2018,W43,12967
Calor,2018,W44,8238
Calor,2018,W45,13188
Calor,2018,W46,8262
Calor,2018,W47,15860
Calor,2018,W48,16935
Calor,2018,W49,14287
Calor,2018,W50,14783
Calor,2018,W51,13726
Calor,2018,W52,10855
Calor,2019,W01,663
Calor,2019,W02,2683
Calor,2019,W03,5943
Calor,2019,W04,3284
Calor,2019,W05,3511
Calor,2019,W06,7714
Calor,2019,W07,9854
Calor,2019,W08,10899
Calor,2019,W09,10063
Calor,2019,W10,3604
Calor,2019,W11,7975
Calor,2019,W12,6906
Calor,2019,W13,10959
Calor,2019,W14,5754
Calor,2019,W15,10190
Calor,2019,W16,11478
Calor,2019,W17,14690
Calor,2019,W18,4541
Calor,2019,W19,9477
Calor,2019,W20,13819
Calor,2019,W21,7112
Calor,2019,W22,6410
Calor,2019,W23,4193
Calor,2019,W24,7240
Calor,2019,W25,7984
Calor,2019,W26,7604
Calor,2019,W27,3859
Calor,2019,W28,6702
Calor,2019,W29,7276
Calor,2019,W30,12164
Calor,2019,W31,9065
Calor,2019,W32,8184
Calor,2019,W33,6919
Calor,2019,W34,9006
Calor,2019,W35,13861
Calor,2019,W36,2018
Calor,2019,W37,9516
Calor,2019,W38,12159
Calor,2019,W39,15821
Calor,2019,W40,4853
Calor,2019,W41,1086
Calor,2019,W42,9934
Calor,2019,W43,14251
Calor,2019,W44,21052
Calor,2019,W45,11717
Calor,2019,W46,20680
Calor,2019,W47,16087
Calor,2019,W48,9200
Calor,2019,W49,10276
Calor,2019,W50,9638
Calor,2019,W51,20894
Calor,2019,W52,8997
Calor,2020,W01,191
Calor,2020,W02,3438
Calor,2020,W03,7033
Calor,2020,W04,8414
Calor,2020,W05,11967
Calor,2020,W06,5910
Calor,2020,W07,6448
Calor,2020,W08,9629
Calor,2020,W09,7691
Calor,2020,W10,8830
Calor,2020,W11,7657
Calor,2020,W12,1266
Calor,2020,W13,48
Calor,2020,W14,169
Calor,2020,W16,877
Calor,2020,W17,1073
Calor,2020,W18,2854
Calor,2020,W19,4461
Calor,2020,W20,1881
Calor,2020,W21,4915
Calor,2020,W22,1529
Calor,2020,W23,6092
Calor,2020,W24,9616
Calor,2020,W25,10244
Calor,2020,W27,0
Calor,2020,W28,1315
Calor,2020,W29,4917
Calor,2020,W30,7476
Calor,2020,W31,10340
Calor,2020,W32,4575
Calor,2020,W33,7934
Calor,2020,W34,8451
Calor,2020,W35,10638
Calor,2020,W36,7205
Calor,2020,W37,9582
Calor,2020,W38,10948
Calor,2020,W39,10243
Calor,2020,W40,6159
Calor,2020,W41,7486
Calor,2020,W42,9942
Calor,2020,W43,10568
Calor,2020,W44,10139
Calor,2020,W45,5102
Calor,2020,W46,17340
Calor,2020,W47,14680
Calor,2020,W48,11161
Calor,2020,W49,8299
Calor,2020,W50,9992
Calor,2020,W51,10173
Calor,2020,W52,5814
Calor,2020,W53,6570
Calor,2021,W01,5336
Calor,2021,W02,16281
Calor,2021,W03,8875
Calor,2021,W04,11469
Calor,2021,W05,10054
Calor,2021,W06,7603
Calor,2021,W07,7117
Calor,2021,W08,9796
Calor,2021,W09,7306
Calor,2021,W10,10390
Calor,2021,W11,7082
Calor,2021,W12,7081
Calor,2021,W13,6187
Calor,2021,W14,9473
Calor,2021,W15,9666
Calor,2021,W16,13795
Calor,2021,W17,11025
Calor,2021,W18,9482
Calor,2021,W19,10741
Calor,2021,W20,8212
Calor,2021,W21,9155
Calor,2021,W22,3464
Calor,2021,W23,5136
Calor,2021,W24,7023
Calor,2021,W25,10651
Calor,2021,W26,9039
Calor,2021,W27,2544
Calor,2021,W28,4648
Calor,2021,W29,7585
Calor,2021,W30,7557
Calor,2021,W31,2084
Calor,2021,W32,3415
Calor,2021,W33,8318
Calor,2021,W34,8580
Calor,2021,W35,6227
Calor,2021,W36,6154
Calor,2021,W37,13284
Calor,2021,W38,8372
Calor,2021,W39,3894
Calor,2021,W40,3603
Calor,2021,W41,15750
Calor,2021,W42,13274
Calor,2021,W43,12601
Calor,2021,W44,2778
Calor,2021,W45,8247
Calor,2021,W46,14181
Calor,2021,W47,14651
Calor,2021,W48,6706
Calor,2021,W49,9378
Calor,2021,W50,11829
Calor,2021,W51,6669
Calor,2021,W52,7600
Frío,2014,W01,8463
Frío,2014,W02,4768
Frío,2014,W03,3259
Frío,2014,W04,3659
Frío,2014,W05,5288
Frío,2014,W06,1690
Frío,2014,W07,4390
Frío,2014,W08,4376
Frío,2014,W09,6301
Frío,2014,W10,337
Frío,2014,W11,5378
Frío,2014,W12,3483
Frío,2014,W13,7409
Frío,2014,W14,5101
Frío,2014,W15,6312
Frío,2014,W16,5165
Frío,2014,W17,4965
Frío,2014,W18,6700
Frío,2014,W19,6577
Frío,2014,W20,9841
Frío,2014,W21,6989
Frío,2014,W22,7973
Frío,2014,W23,1099
Frío,2014,W24,5573
Frío,2014,W25,3826
Frío,2014,W26,5133
Frío,2014,W27,2545
Frío,2014,W28,3156
Frío,2014,W29,4441
Frío,2014,W30,4670
Frío,2014,W31,4449
Frío,2014,W32,3120
Frío,2014,W33,3610
Frío,2014,W34,3560
Frío,2014,W35,6748
Frío,2014,W36,1773
Frío,2014,W37,4375
Frío,2014,W38,4325
Frío,2014,W39,4236
Frío,2014,W40,4300
Frío,2014,W41,4352
Frío,2014,W42,4195
Frío,2014,W43,5018
Frío,2014,W44,7755
Frío,2014,W45,2038
Frío,2014,W46,6579
Frío,2014,W47,9532
Frío,2014,W48,10922
Frío,2014,W49,5409
Frío,2014,W50,9826
Frío,2014,W51,9005
Frío,2014,W52,9729
Frío,2015,W01,0
Frío,2015,W02,853
Frío,2015,W03,5447
Frío,2015,W04,6449
Frío,2015,W05,7472
Frío,2015,W06,1776
Frío,2015,W07,7784
Frío,2015,W08,3368
Frío,2015,W09,5498
Frío,2015,W10,898
Frío,2015,W11,3735
Frío,2015,W12,8739
Frío,2015,W13,7131
Frío,2015,W14,2436
Frío,2015,W15,5907
Frío,2015,W16,5569
Frío,2015,W17,11854
Frío,2015,W18,5725
Frío,2015,W19,1705
Frío,2015,W20,5183
Frío,2015,W21,13376
Frío,2015,W22,3390
Frío,2015,W23,4014
Frío,2015,W24,4062
Frío,2015,W25,3365
Frío,2015,W26,5135
Frío,2015,W27,1649
Frío,2015,W28,5039
Frío,2015,W29,2784
Frío,2015,W30,3508
Frío,2015,W31,2905
Frío,2015,W32,4858
Frío,2015,W33,4058
Frío,2015,W34,3077
Frío,2015,W35,4478
Frío,2015,W36,612
Frío,2015,W37,6394
Frío,2015,W38,3756
Frío,2015,W39,5210
Frío,2015,W40,1776
Frío,2015,W41,4777
Frío,2015,W42,3520
Frío,2015,W43,4797
Frío,2015,W44,3624
Frío,2015,W45,3109
Frío,2015,W46,4395
Frío,2015,W47,6837
Frío,2015,W48,18918
Frío,2015,W49,3646
Frío,2015,W50,5342
Frío,2015,W51,5790
Frío,2015,W52,5706
Frío,2015,W53,2472
Frío,2016,W01,1164
Frío,2016,W02,7190
Frío,2016,W03,3624
Frío,2016,W04,3045
Frío,2016,W05,4599
Frío,2016,W06,526
Frío,2016,W07,3688
Frío,2016,W08,4508
Frío,2016,W09,2333
Frío,2016,W10,3308
Frío,2016,W11,2894
Frío,2016,W12,5960
Frío,2016,W13,3004
Frío,2016,W14,5202
Frío,2016,W15,2925
Frío,2016,W16,3354
Frío,2016,W17,4260
Frío,2016,W18,4440
Frío,2016,W19,6650
Frío,2016,W20,5819
Frío,2016,W21,3251
